seed,genotypes_nnz,linarg_nnz,ts_num_edges,n_mutations,linarg_nnz_ratio,linarg_size,ts_size
1,202787165,754862,581534,63048,268.64137418495034,817910,707630
2,224946813,793439,582222,63775,283.50864149606963,857214,709772
3,203483267,774177,582224,64023,262.8381713742465,838200,710270
4,191333053,761178,583988,63856,251.36440228172648,825034,711700
5,214843963,774483,583751,63946,277.40307146832146,838429,711643
6,204983134,767768,581667,63554,266.9857743485011,831322,708775
7,205282859,768145,582648,63242,267.24493292282057,831387,709132
8,210395398,763811,583039,63728,275.4547892083251,827539,710495
9,206750460,756459,581994,62964,273.3135041026678,819423,707922
10,207180105,751382,581243,63778,275.73205772829266,815160,708799
11,205629670,766758,582836,63464,268.1806645643084,830222,709764
12,203509942,755318,584190,63588,269.4361077056286,818906,711366
13,188936844,746424,581581,62529,253.12268094273497,808953,706639
14,224986913,789264,583072,63572,285.05913483954674,852836,710216
15,212515375,753131,581433,62904,282.17584324639404,816035,707241
16,220866175,773675,582691,63462,285.47668594694153,837137,709615
17,208233356,779127,581590,63290,267.26497220607166,842417,708170
18,193793393,749587,584199,63740,258.53355647843415,813327,711679
19,195524585,747532,582677,63401,261.5601539465869,810933,709479
20,215027297,772821,582480,63621,278.23687115127564,836442,709722
21,196889584,753553,582139,63293,261.28166698294615,816846,708725
22,199417278,756636,581491,63796,263.5577450716064,820432,709083
23,204081377,752415,582357,62914,271.2351255623559,815329,708185
24,202906277,764574,582651,63342,265.3847462770118,827916,709335
25,195826225,753542,583184,63203,259.87433348108004,816745,709590
26,221919450,771603,584266,63604,287.6083296721241,835207,711474
27,212771520,768582,582427,62873,276.8364598702546,831455,708173
28,214055357,753271,583975,63537,284.16779220227517,816808,711049
29,209869416,763801,583795,63434,274.76975809144005,827235,710663
30,211206150,754944,582147,64001,279.7639957400814,818945,710149
31,227488484,775828,581368,63589,293.22025500497534,839417,708546
32,200082937,756887,581351,63404,264.3498131160926,820291,708159
33,218971697,774752,581651,63912,282.63456822312173,838664,709475
34,215156615,774776,583730,63609,277.70170346009684,838385,710948
35,219778073,770950,581361,63380,285.07435371943706,834330,708121
36,209579555,774737,582509,63577,270.5170335223437,838314,709663
37,222000232,779432,582992,63795,284.82309168727994,843227,710582
38,211015732,771155,582662,63469,273.63595126790335,834624,709600
39,202913904,764014,582539,63381,265.5892483645588,827395,709301
40,190861570,748372,581892,63377,255.0356908061766,811749,708646
41,196254911,747989,585061,63358,262.37673414983374,811347,711777
42,198823115,753871,581901,63168,263.73625593768696,817039,708237
43,220734253,761808,583390,63719,289.75050537668284,825527,710828
44,181219213,741396,581268,63123,244.4297150240897,804519,707514
45,185858306,740831,582266,63859,250.87814359820257,804690,709984
46,210823008,759557,583042,63438,277.5604832817024,822995,709918
47,212617604,765204,584882,63955,277.85741318654897,829159,712792
48,231125286,785436,583205,63698,294.2636777535025,849134,710601
49,221208732,772257,583795,64215,286.44445048733775,836472,712225
50,204576791,765382,582464,62685,267.28717294109344,828067,707834
51,213807404,761646,583029,63638,280.7175564501094,825284,710305
52,198396151,746314,582935,63247,265.83469022422196,809561,709429
53,214364630,779745,583825,63511,274.91632520888237,843256,710847
54,199992656,759730,580381,63159,263.2417516749372,822889,706699
55,204099601,770881,582814,63812,264.7614884787665,834693,710438
56,187439358,758037,583758,62984,247.26940505542606,821021,709726
57,204257856,755217,580993,63178,270.4624710513667,818395,707349
58,195618035,790355,582449,63260,247.50654452745917,853615,708969
59,201366973,751345,581856,62914,268.0086684545715,814259,707684
60,211905184,750058,580194,62928,282.5183972439465,812986,706050
61,209548654,763788,581440,63771,274.35447270708625,827559,708982
62,181449157,739136,582634,63525,245.48818755952897,802661,709684
63,189281732,738710,581733,63107,256.2328004223579,801817,707947
64,200033121,749563,579650,62978,266.86632211034964,812541,705606
65,202260840,751954,583168,63789,268.98033656314084,815743,710746
66,195733202,760950,583327,63457,257.22215914317627,824407,710241
67,197798063,736548,582674,63421,268.5474171404986,799969,709516
68,182888186,751677,581841,63024,243.3068804819091,814701,707889
69,206362292,767008,582991,63769,269.04842191998,830777,710529
70,207777330,765527,584071,63978,271.4173765262362,829505,712027
71,194650890,758967,582795,63792,256.468186363834,822759,710379
72,195601554,761944,582907,63854,256.7138188633285,825798,710615
73,200749903,757802,583309,63748,264.910759010929,821550,710805
74,209298133,768073,580542,63183,272.4977092021201,831256,706908
75,196209284,754112,581915,63427,260.1858662904184,817539,708769
76,210016202,768153,581043,63952,273.40412912531747,832105,708947
77,207628927,765801,581905,63253,271.12647672175933,829054,708411
78,199254539,753223,583617,63590,264.535919641328,816813,710797
79,213413824,766589,581467,63307,278.3940599199832,829896,708081
80,227994215,783771,582585,63921,290.89391544213805,847692,710427
81,208170327,740646,581753,63542,281.0658897773025,804188,708837
82,196730413,755074,582546,62998,260.544546627218,818072,708542
83,212141345,761215,583197,63712,278.68781487490395,824927,710621
84,220911193,768669,581290,63506,287.39443505592135,832175,708302
85,211413919,757186,581754,63366,279.21002105163063,820552,708486
86,209022395,747966,581192,63628,279.45440701850083,811594,708448
87,210235941,766280,581940,63220,274.35916505715926,829500,708380
88,208158682,771448,582523,63378,269.8285328369508,834826,709279
89,214853700,760778,582941,63614,282.4131349749861,824392,710169
90,208662340,761055,583005,63621,274.175112179803,824676,710247
91,213117356,755719,581080,63391,282.0060842720641,819110,707862
92,194742234,749322,580497,63130,259.8912536933388,812452,706757
93,210366724,767824,582557,63318,273.9777917856175,831142,709193
94,213692725,772741,582782,63845,276.5386138434482,836586,710472
95,192099006,750975,582050,63421,255.7994686907021,814396,708892
96,202763585,756016,583175,63830,268.2001240714482,819846,710835
97,209185967,767019,582941,63636,272.7259259548981,830655,710213
98,240922432,790360,582583,64148,304.826195657675,854508,710879
99,197822595,759984,581838,62894,260.29836812353943,822878,707626
100,187911864,756972,582683,63480,248.241499025063,820452,709643
